@relation 'AT: Zones9_15k-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.228attr_32-0.225attr_13-0.216attr_20-0.211attr_2-0.202attr_12... numeric
@attribute -0.326attr_18-0.275attr_17+0.269attr_8+0.255attr_3-0.249attr_21... numeric
@attribute 0.315attr_15-0.29attr_31+0.289attr_1-0.273attr_34+0.263attr_12... numeric
@attribute 0.337attr_5-0.3attr_14+0.299attr_23+0.285attr_2-0.277attr_13... numeric
@attribute -0.335attr_10+0.307attr_36+0.302attr_33-0.294attr_13+0.283attr_32... numeric
@attribute 0.439attr_26-0.292attr_6+0.288attr_25+0.287attr_10-0.271attr_28... numeric
@attribute -0.489attr_27-0.301attr_29-0.281attr_30-0.254attr_28-0.237attr_11... numeric
@attribute 0.346attr_32-0.327attr_30+0.305attr_23+0.289attr_12-0.28attr_17... numeric
@attribute '-0.356attr_7-0.347attr_25+0.346attr_33+0.329attr_35+0.29 attr_30...' numeric
@attribute 0.445attr_9-0.344attr_27+0.311attr_29-0.284attr_11+0.262attr_22... numeric
@attribute '-0.445attr_1-0.352attr_33-0.344attr_22+0.302attr_9+0.27 attr_36...' numeric
@attribute '0.47 attr_24-0.363attr_34+0.354attr_1-0.336attr_3-0.278attr_11...' numeric
@attribute 0.638attr_36-0.461attr_34+0.325attr_22-0.234attr_25+0.174attr_19... numeric
@attribute 0.604attr_3-0.344attr_24+0.303attr_29-0.27attr_11-0.233attr_7... numeric
@attribute -0.453attr_11-0.388attr_33-0.284attr_24+0.262attr_9+0.223attr_12... numeric
@attribute -0.714attr_18+0.272attr_9+0.224attr_16+0.203attr_1+0.183attr_19... numeric
@attribute 0.356attr_33+0.273attr_24-0.273attr_16+0.268attr_36-0.259attr_8... numeric
@attribute CLASS {A,AA,ADA,AN,BA,BHA,BI,C,CH,CN,DA,DDA,DDH,DHA,DRA,E,EN,G,GH,HA,I,II,JA,JH,K,KH,KT,LA,MA,MN,MSA,NA,O,OI,OU,PA,PHA,RA,RI,S,SA,T,TA,THA,TTA,U,UN,UU,Y,YA}

@data
-2.578187,0.207373,0.423757,0.321593,-0.919937,-0.245977,0.34348,-0.221738,0.378622,-0.718531,0.084545,-0.095579,-0.143934,0.054693,0.086477,-0.195242,0.144683,A
-3.408443,0.357325,0.050849,0.578153,-0.423601,-0.35,0.259303,-0.253368,0.216431,-0.344778,0.186521,-0.069084,-0.104798,-0.16582,0.291432,-0.457842,-0.116826,A
-3.693447,-0.439538,0.266548,0.644133,-0.668438,-0.401367,-0.377038,-0.14375,-0.079079,-0.42638,0.523934,0.246671,-0.267036,0.169043,0.486158,-0.46366,0.214541,A
-2.697045,0.952493,0.242847,0.308075,-0.682259,-0.580052,0.363955,-0.041768,0.152874,-0.581531,0.005369,-0.188778,0.025928,0.393447,-0.348625,-0.230857,-0.087858,A
-2.784981,0.167522,0.574788,0.822465,-0.578361,-0.619926,-0.405432,0.070676,0.251536,-1.022522,0.681179,0.100913,-0.095512,0.394198,-0.070318,-0.582447,0.133526,A
-2.711524,0.861715,0.340588,0.624146,-0.663634,-0.652177,0.050924,0.974037,0.504966,-2.027869,0.603231,-0.258917,-0.601448,-0.334221,-0.701532,0.308985,0.104475,A
-4.026534,-0.34051,-0.107007,0.41497,-0.601365,-0.298422,-0.497616,0.122667,0.527698,-1.101408,0.628967,0.208451,-0.833229,0.421593,0.399618,-0.029321,0.43326,A
-3.353111,0.506176,0.138043,0.480134,-0.695232,-0.353216,0.034785,-0.178413,0.240284,-0.218958,0.063214,-0.104335,-0.045851,0.237835,-0.234024,-0.488656,-0.032002,A
-3.184049,-0.15146,0.544583,0.951537,-0.229139,-0.773597,-0.444509,0.404802,0.444422,-0.666872,0.629728,0.178763,0.00459,0.582105,0.310232,-0.386763,0.221991,A
-3.523796,-0.035982,-0.127884,0.758974,-0.486017,-0.770003,-0.529942,0.079119,0.495144,-0.94802,0.70077,0.191572,-0.414352,0.037352,0.228693,-0.260039,0.389629,A
-2.839869,0.081156,1.74074,0.784039,-0.506976,-1.000435,0.408602,-0.430177,0.525553,-0.565823,0.963514,-0.016594,0.000042,1.138657,-0.866028,-0.856479,0.627071,A
-0.824044,-0.868369,0.084002,-0.173652,-0.73043,0.464246,4.461421,2.628067,-0.013825,0.622957,0.874067,0.232595,-0.121504,-0.09867,0.742275,-0.38215,0.098047,A
-3.703791,-0.011234,0.389826,0.100838,-0.404235,-0.012915,0.221015,-0.410738,-0.026864,-0.331649,-0.040055,-0.270802,-0.120469,-0.434936,-0.574445,-0.409126,-0.047806,A
-3.081777,-0.558965,-0.18194,-0.094052,-0.064261,-1.014716,-0.276156,0.839891,0.828572,-0.781069,1.647346,0.750552,-0.763557,0.487846,0.664713,-0.464296,0.087895,A
-3.503587,0.135575,0.815201,1.115191,-0.126277,-0.867993,-0.683119,0.129094,0.576508,-1.111868,1.048345,0.251262,0.142514,0.794513,0.20023,-0.46727,0.275033,A
-2.239765,1.063187,1.04658,0.755303,-0.278497,-0.689137,-0.363751,0.731092,0.818732,-1.168063,0.609314,-0.084415,0.636337,1.136928,-0.473704,-0.051531,0.221898,A
-2.112596,0.366732,0.896088,0.945706,-0.987315,-0.960914,0.411063,1.07893,0.71876,-2.52489,1.00786,-0.372463,-0.024892,0.520667,-0.783771,0.098281,0.428746,A
-2.695253,-0.550207,0.207287,0.600114,-0.542117,-0.519611,0.261923,0.721631,0.459302,-1.297904,0.877598,-0.206207,-0.201036,-0.592169,-0.046349,-0.10736,0.2232,A
