@relation 'AT: frechetCheckA - Copy-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.569attr_4-0.516attr_2-0.514attr_6-0.314attr_5-0.199attr_1... numeric
@attribute -0.671attr_3-0.583attr_1+0.314attr_4+0.248attr_6-0.171attr_2... numeric
@attribute '-0.715attr_5+0.47 attr_2-0.284attr_1+0.276attr_3+0.259attr_6...' numeric
@attribute -0.51attr_6-0.449attr_5+0.444attr_1+0.382attr_4-0.365attr_3... numeric
@attribute '0.551attr_6-0.535attr_2+0.52 attr_1-0.374attr_5-0.026attr_3...' numeric
@attribute class {A,AA,ADA,AN,BHA,BI,C,CH,CN,DA,DDA,DDH,DHA,DRA,E,EN,G,GH,HA,I,II,JA,JH,K,KH,KT,LA,MA,MN,MSA,NA,O,OI,OU,PA,PHA,RA,RI,S,SA,T,TA,THA,TTA,U,UN,UU,Y,YA}

@data
-0.732556,-0.230226,0.077789,-0.397208,0.421739,A
-0.605962,-0.838513,-0.194806,-0.214357,-0.548415,A
-0.309993,-0.322517,-0.009705,0.003788,-0.060936,A
-0.605456,-0.611933,0.024226,-0.422634,0.060593,A
-0.769987,-0.606141,-0.033664,-0.444731,-0.251926,A
-0.755425,-0.638601,-0.254352,-0.30985,-0.550602,A
-0.723178,-0.180462,-0.711983,0.675352,0.277391,A
-1.154397,-0.474306,-0.168833,-0.698589,-0.000198,A
-0.463523,-0.527204,-0.096325,-0.1037,-0.346247,A
-0.886175,-0.927894,-0.103362,-0.386796,-0.469457,A
-0.133731,-0.430027,-0.142336,-0.082539,-0.23551,A
-0.961633,-0.463617,0.064458,-0.417941,0.108195,A
-0.759028,-1.008489,0.224363,-0.659807,0.075378,A
-0.401602,-0.643867,0.003873,-0.508464,-0.669422,A
-0.387668,-0.704578,-0.177414,-0.467013,-0.006415,A
-0.148511,-1.103679,-0.2027,-0.420934,-0.272173,A
-1.215771,-0.354342,-0.04142,-0.223184,0.469721,A
-0.689522,-0.294852,0.702346,-0.333324,0.845693,A
-0.900268,-0.006487,0.373833,-0.026529,0.046922,A
0.341061,-0.675809,0.08713,0.311356,-0.054416,A
-0.863027,-0.699829,-0.031111,0.234376,0.415624,A
-0.586565,-0.104964,0.042134,0.235784,-0.531602,A
-0.623793,1.222039,0.583755,-0.160986,-0.885316,A
-1.238991,-0.401014,-0.05819,-0.042115,0.161615,A
-0.163576,-1.095043,1.222088,1.136562,0.885811,A
-2.078671,-1.531052,0.866416,0.506572,-1.312527,A
-0.333675,-0.122979,-0.669562,0.782698,-0.569353,A
-0.39722,-0.451409,0.054787,-0.01934,-0.027068,A
-1.312078,-0.595503,-0.207818,-0.199105,0.068644,A
-1.10904,-0.566465,-0.160589,0.038794,0.177708,A
-0.396766,-0.736192,-0.115691,-0.052061,-0.170434,A
-0.602365,-0.056495,-0.142995,0.79571,-0.450528,A
-1.149793,-0.066153,-0.369627,-0.187368,0.045351,A
-0.820585,-0.540728,-0.089474,-0.666157,0.168155,A
0.252801,-0.795858,-0.311273,-0.213732,0.209703,A
-0.128211,-0.283775,-0.320153,0.291583,0.071796,A
-0.928525,-0.849289,0.29524,-0.497496,0.085303,A
-1.005509,-0.059254,-0.443246,0.360382,0.325741,A
0.345997,0.261034,0.116846,1.260019,-0.048945,A
-0.198834,-0.190163,-0.070362,1.288996,-0.023277,A
-0.166686,-0.095748,0.214329,0.468662,0.481935,A
-0.133907,-0.131464,-0.318607,1.67489,0.494226,A
-0.988015,-0.010667,-0.158778,0.598349,0.041991,A
-1.047279,-0.382267,0.417097,0.061215,0.578708,A
-0.411021,-0.682242,-0.151494,-0.334825,0.100717,A
-0.567814,-0.386061,-0.353683,0.310924,-0.071226,A
-1.655564,-0.389804,0.344799,0.007309,0.550464,A
-0.456092,-0.172213,-0.182621,0.093405,-0.047895,A
-0.80229,-0.904049,-0.26322,-0.553934,0.544395,A
-0.548998,0.621468,0.616117,1.145677,0.283142,A
-0.892958,-0.503807,0.740858,0.264256,0.237303,A
-0.975329,-0.373417,-0.0195,-0.115994,0.68349,A
-0.39707,-0.403104,-0.073867,0.194533,-0.269731,A
-0.285447,0.014883,-0.046286,0.298369,-0.087466,A
-0.988004,0.10874,-0.469834,0.843011,-0.181649,A
-0.589272,0.380498,0.793497,0.899931,0.113203,A
0.375921,-1.210633,-0.425823,-0.393898,-0.149557,A
-1.256904,-0.897038,0.173236,-0.051194,-0.141262,A
-0.566589,-0.319948,-0.621208,1.138186,0.19006,A
5.626185,3.11304,1.284861,1.329966,-0.126136,AA
-0.619638,-0.221694,0.090841,0.220646,-0.25171,AA
-0.184037,-0.589986,-0.357524,0.132589,0.707635,AA
-0.723955,-0.53423,-0.217109,-0.29882,0.084488,AA
-0.75625,0.042243,-0.139893,0.070872,0.412695,AA
-0.739007,-0.180493,-0.330822,-0.236812,0.641482,AA
-0.163226,-0.910083,0.147161,-0.13372,-0.218276,AA
-0.589083,0.238571,-0.019967,0.231484,-0.000007,AA
-0.643986,-0.399945,-0.211025,0.408676,0.480101,AA
-1.071731,-0.288355,-0.332767,-0.348386,0.313546,AA
-1.278385,-0.363121,0.112631,-0.186385,0.578826,AA
-0.891214,-0.338414,-0.091038,-0.134245,0.561478,AA
-0.656711,0.554283,-0.253997,-0.509966,0.456868,AA
-0.719911,0.125731,-0.231524,-0.122378,1.037692,AA
-0.81321,0.490074,-0.226475,-0.091843,0.123578,AA
-0.537887,0.316688,-0.264052,0.244163,0.435809,AA
-0.584422,0.111015,-0.097399,-0.018958,-0.067226,AA
-0.0369,-0.267764,-0.752762,0.026262,0.310844,AA
-1.085946,-0.244509,-0.15558,0.138103,0.88259,AA
-0.499799,0.918877,-0.493906,-0.230704,0.900054,AA
-0.650692,0.671289,-0.664101,-0.5448,0.401966,AA
-1.205546,-0.383724,-0.092261,0.000664,0.512839,AA
-1.009069,-0.225998,-0.19806,-0.189971,0.758945,AA
-0.625867,0.051724,-0.055264,-0.065703,0.587614,AA
-1.058522,-0.215319,0.09124,-0.166242,0.132788,AA
-1.06051,-0.327738,0.101528,-0.183299,0.655736,AA
-0.467311,-0.719318,-0.563898,-0.159959,0.399685,AA
-0.330518,-0.516252,-0.309853,0.162814,0.602069,AA
-0.568414,0.235948,-0.410845,0.149948,-0.024089,AA
-0.985487,-0.219916,-0.075152,-0.033881,0.213425,AA
-0.845114,0.418124,-0.247867,0.42329,0.155485,AA
-0.421308,-0.51653,-0.474037,-0.063641,0.201319,AA
-0.866024,-0.196551,0.051117,-0.082798,0.177773,AA
-0.817431,-0.031799,-0.152511,0.331614,0.163914,AA
-0.321859,-0.285102,-0.446676,-0.130141,0.222547,AA
-0.925954,-0.177259,-0.298044,-0.30521,0.844863,AA
-0.616804,0.078799,-0.350847,0.335112,0.292603,AA
-1.022916,-0.173064,0.060016,-0.013692,0.8115,AA
-0.987041,-0.082072,-0.10187,-0.067805,0.712316,AA
-0.610582,-0.447607,-0.16649,-0.227715,0.437844,AA
-0.477225,-0.128393,-0.18345,0.254329,0.177734,AA
-0.727565,-0.152516,-0.209751,0.081461,0.217835,AA
-0.257789,-0.280578,-0.477237,0.177787,-0.163441,AA
-0.435518,0.069499,-0.154179,0.139807,0.114853,AA
0.073929,-0.385608,-0.321427,-0.018316,-0.370046,AA
0.427757,-0.371738,-0.775749,-0.000549,0.10216,AA
-0.815904,-0.481082,-0.084866,0.084413,0.413003,AA
-0.69525,-0.315884,-0.054419,0.277594,0.532394,AA
-0.743275,-0.617058,0.091106,0.472987,0.227235,AA
-0.561239,-0.144155,-0.310817,0.30553,0.335021,AA
-0.533794,-0.225076,-0.310464,0.265363,0.003101,AA
-0.651861,-0.048288,-0.163777,0.099384,0.282745,AA
-0.656607,-0.128062,-0.30319,0.071417,0.240188,AA
-0.794033,-0.202547,0.328285,0.354222,0.30118,AA
-0.890612,-0.059548,-0.330174,0.376653,-0.063887,AA
0.049869,-0.535326,-0.365665,0.006603,0.171346,AA
0.245145,-0.348381,-0.429342,0.399027,0.296995,AA
-1.117546,-0.343057,-0.175401,0.324418,-0.05869,AA
0.915958,-0.561327,-0.399248,0.397064,-0.136577,AA
-0.285729,-1.009483,0.435322,0.425548,-0.10114,AA
-0.631601,-0.81223,0.125856,0.266221,-0.159164,AA
0.737762,-0.64757,0.588541,0.488302,0.006343,AA
0.752061,-1.090563,-0.485941,-0.223378,-0.021582,AA
0.993344,-0.895352,-0.305661,-0.220554,0.011834,AA
0.566003,-0.958822,-0.171313,-0.106707,-0.225298,AA
0.191783,-0.894232,-0.284796,-0.276858,-0.320404,AA
0.499944,-1.006643,-0.166723,-0.211482,-0.068415,AA
-0.257697,-0.346293,-0.715802,0.190271,0.319409,AA
0.417962,-0.520685,-0.320176,0.123624,0.078881,AA
