@relation 'AT: Zone4_10k-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.575attr_4-0.478attr_6-0.471attr_2-0.383attr_5-0.261attr_1... numeric
@attribute -0.696attr_3-0.542attr_1+0.328attr_4+0.245attr_6-0.232attr_2... numeric
@attribute '0.635attr_5-0.484attr_2-0.393attr_6+0.37 attr_1-0.22attr_3...' numeric
@attribute -0.551attr_6-0.479attr_5+0.407attr_4+0.327attr_2-0.324attr_3... numeric
@attribute 0.559attr_1-0.503attr_2+0.476attr_6-0.448attr_5+0.067attr_4... numeric
@attribute class {A,AA,ADA,AN,BHA,BI,C,CH,CN,DA,DDA,DDH,DHA,DRA,E,EN,G,GH,HA,I,II,JA,JH,K,KH,KT,LA,MA,MN,MSA,NA,O,OI,OU,PA,PHA,RA,RI,S,SA,T,TA,THA,TTA,U,UN,UU,Y,YA}

@data
-0.684269,-0.474989,-0.015599,-0.053041,-0.24861,AA
-0.402083,0.020859,0.189708,0.153284,0.174624,AA
-0.495739,-0.707892,-0.032083,-0.006328,-0.046967,AA
-0.699969,-0.527915,0.214727,0.297325,0.284147,AA
-0.65591,-0.094411,0.389032,-0.196512,0.049382,AA
-0.961831,-0.729562,0.494507,-0.106289,0.438053,AA
-1.373571,-0.346018,0.186496,-0.043088,0.712227,AA
0.347304,-0.171705,0.362326,0.209891,-0.270099,AA
-0.821834,-0.298143,0.234088,0.531143,-0.138512,AA
-1.216995,-0.206272,0.01305,-0.086533,0.199845,AA
-1.259729,-0.63459,0.304063,0.037428,0.827636,AA
-1.233749,-0.319458,0.487863,-0.272318,0.334394,AA
-0.857706,-0.245516,0.147116,0.08212,0.247829,AA
-1.0891,-0.274546,0.068027,0.177189,0.43253,AA
-1.040574,0.531643,0.11428,0.170142,0.13611,AA
-0.846809,-0.266746,0.723015,0.24745,0.800989,AA
-1.008691,0.53122,-0.153397,-0.026242,-0.015551,AA
-1.01422,0.604592,0.280386,0.098799,0.125024,AA
-1.065039,-0.20576,0.229705,-0.238173,0.447156,AA
-1.238878,-0.294251,0.396604,-0.290051,0.774117,AA
-1.146838,-0.384052,-0.116323,-0.03093,0.385379,AA
-0.793085,-0.284514,0.169164,0.382569,-0.455738,AA
-1.320747,0.084221,0.052295,0.040215,0.321535,AA
-0.610768,-0.014701,0.676359,0.237151,0.416686,AA
-1.144203,-0.576057,0.477128,0.218264,0.480438,AA
-1.017194,-0.3734,0.452202,0.075177,0.459091,AA
-0.942039,-0.072099,0.257994,-0.286696,0.428823,AA
-1.213603,0.375218,0.152313,-0.375301,0.269018,AA
-0.654849,0.833133,0.31693,0.232882,-0.158369,AA
-0.645722,-0.490533,0.597785,-0.056913,0.057801,AA
-0.716666,-0.451918,-0.498795,0.350436,0.378713,AA
-0.712708,-0.436599,0.430527,0.0994,0.650662,AA
-0.767707,-0.441744,0.260376,0.18042,0.282937,AA
-0.650505,0.000303,0.596806,0.453687,0.196705,AA
0.031219,-0.328603,0.269981,0.559955,0.102778,AA
-0.47914,-0.472974,-0.271504,0.415762,-0.278362,AA
-0.751023,-0.509007,0.158899,0.26542,-0.080994,AA
-0.357933,-0.497952,0.042622,0.100815,-0.006811,AA
-0.370273,-0.605554,0.679105,-0.001129,0.229633,AA
-0.996779,0.169738,0.093957,0.118262,0.41973,AA
-1.172225,-0.377548,0.265726,-0.032666,0.597351,AA
-1.699774,-0.625578,0.408727,-0.075153,0.328332,AA
-1.546404,0.031467,0.116522,0.086817,0.465547,AA
-1.0344,-0.38597,0.319778,-0.067379,0.46989,AA
-0.726947,-0.317373,0.725355,0.145464,0.505534,AA
-0.803905,-0.794117,0.346217,0.00348,0.717029,AA
-0.776264,-0.039273,0.248036,0.292687,0.271951,AA
-0.667223,-0.159372,0.359722,0.401474,0.414517,AA
-1.031945,-0.312801,0.385212,-0.196879,0.559852,AA
-0.864495,-0.695826,0.498858,-0.059811,0.471782,AA
-0.522197,-0.256211,0.450428,-0.044864,0.405654,AA
-0.450714,-0.215657,0.321174,0.048942,0.08363,AA
0.090734,-0.465278,0.551618,-0.240279,0.487623,AA
-0.56568,0.033795,0.209357,0.176376,0.625919,AA
-0.057124,0.092415,0.693111,0.449743,0.146883,AA
